n,Method,J_mean,J_std,C_mean,C_std,t_f_mean,t_f_std,conv_rate(%)
8,ACS,113.7,57.9,62.3,39.6,51.3,20.0,100.0
8,HEURISTIC,92.5,45.7,44.3,29.2,48.2,18.5,99.3
8,RL,96.9,36.0,47.9,23.5,49.0,15.3,100.0
16,ACS,127.7,64.9,66.5,42.9,61.2,24.6,100.0
16,HEURISTIC,90.5,39.3,39.9,25.3,50.6,16.4,100.0
16,RL,93.6,29.6,39.4,16.8,54.3,16.4,100.0
32,ACS,166.4,77.1,84.5,50.1,81.9,29.8,100.0
32,HEURISTIC,101.4,46.0,41.6,28.4,59.8,20.5,100.0
32,RL,95.1,22.9,34.5,11.4,60.6,15.6,100.0
64,ACS,207.1,77.2,104.7,49.5,102.3,30.5,99.7
64,HEURISTIC,146.4,70.5,64.0,44.3,82.5,29.3,100.0
64,RL,101.1,23.1,32.3,8.2,68.7,19.4,99.9
128,ACS,251.6,71.0,128.1,44.1,123.5,30.3,98.3
128,HEURISTIC,223.2,84.5,109.1,52.4,114.2,35.0,98.4
128,RL,104.5,20.6,31.1,4.6,73.3,19.3,100.0
256,ACS,273.9,70.3,139.6,42.8,134.3,30.9,97.8
256,HEURISTIC,272.7,69.0,137.5,43.1,135.2,29.3,97.5
256,RL,108.5,19.8,30.8,2.8,77.6,19.4,99.9
512,ACS,276.4,73.8,139.2,45.2,137.1,31.9,97.3
512,HEURISTIC,282.6,68.6,143.0,41.7,139.6,30.1,96.9
512,RL,110.5,21.4,30.7,2.1,79.8,21.4,99.3
1024,ACS,283.2,76.8,143.7,47.2,139.4,32.3,96.5
1024,HEURISTIC,286.0,71.0,145.4,43.9,140.6,30.2,97.8
1024,RL,110.3,19.3,30.7,1.6,79.6,19.5,99.6
