n,Method,conv_rate(%),conv_count,total,sp_last_mean,sp_last_std,sp_last_max,sv_last_mean,phi_mean,phi_std
8,ACS,100.0,1000,1000,38.15,1.18,41.88,0.0791,0.999985,0.000007
8,HEURISTIC,99.3,993,1000,37.60,1.07,41.30,0.0814,0.999984,0.000006
8,RL,100.0,1000,1000,37.90,1.15,41.82,0.0809,0.999984,0.000007
16,ACS,100.0,1000,1000,39.26,1.10,42.28,0.0918,0.999981,0.000005
16,HEURISTIC,100.0,1000,1000,38.89,1.10,41.92,0.0917,0.999981,0.000005
16,RL,100.0,1000,1000,39.22,1.10,42.15,0.0926,0.999980,0.000005
32,ACS,100.0,1000,1000,40.24,0.89,42.56,0.0989,0.999978,0.000001
32,HEURISTIC,100.0,1000,1000,39.95,0.98,42.26,0.0987,0.999978,0.000001
32,RL,100.0,1000,1000,40.20,0.97,42.78,0.0988,0.999978,0.000001
64,ACS,99.7,997,1000,40.88,0.63,43.01,0.0992,0.999978,0.000000
64,HEURISTIC,100.0,1000,1000,40.73,0.74,42.52,0.0993,0.999978,0.000000
64,RL,99.9,999,1000,40.85,0.79,42.82,0.0993,0.999978,0.000000
128,ACS,98.3,983,1000,41.18,0.46,43.34,0.0994,0.999978,0.000000
128,HEURISTIC,98.4,984,1000,41.08,0.51,42.32,0.0994,0.999978,0.000000
128,RL,100.0,1000,1000,41.19,0.66,43.53,0.0995,0.999978,0.000000
256,ACS,97.8,978,1000,41.30,0.41,42.74,0.0995,0.999978,0.000000
256,HEURISTIC,97.5,975,1000,41.33,0.34,42.40,0.0995,0.999978,0.000000
256,RL,99.9,999,1000,41.40,0.50,43.12,0.0996,0.999978,0.000000
512,ACS,97.3,973,1000,41.35,0.36,42.58,0.0996,0.999978,0.000000
512,HEURISTIC,96.9,969,1000,41.36,0.33,43.00,0.0995,0.999978,0.000000
512,RL,99.3,993,1000,41.50,0.40,42.83,0.0997,0.999978,0.000000
1024,ACS,96.5,965,1000,41.38,0.34,42.27,0.0996,0.999978,0.000000
1024,HEURISTIC,97.8,978,1000,41.39,0.30,42.38,0.0996,0.999978,0.000000
1024,RL,99.6,996,1000,41.53,0.32,42.65,0.0997,0.999978,0.000000
